DENOMINACION,BARRIO,ZONATRANSPORTE,FECHAINICIO,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE,LINEAS
ARROYOFRESNO,81,079-08-158,1999-03-30,U,T,Calle,438581.0,4482705.0,[],"[{'linea': '7', 'orden': 2}]"
RIVAS URBANIZACIONES,-1,123-002,1999-04-01,U,T,Plaza,453645.0,4468818.0,[],"[{'linea': '9', 'orden': 24}]"
NOVICIADO,11,079-01-007,1993-07-01,U,N,Calle,440100.0,4475360.0,[],"[{'linea': '2', 'orden': 16}]"
LAGO,91,079-09-224,1993-07-01,U,T,Ronda,437699.0,4474444.0,[],"[{'linea': '10', 'orden': 24}]"
BATAN,91,079-09-224,1993-07-01,U,T,Paseo,436208.0,4473507.0,[],"[{'linea': '10', 'orden': 25}]"
SOL,16,079-01-014,1993-07-01,U,T,Plaza,440446.0,4474473.0,"['C-3', 'C-4']","[{'linea': '1', 'orden': 15}, {'linea': '2', 'orden': 13}, {'linea': '3', 'orden': 14}]"
NUEVOS MINISTERIOS,62,079-06-120,1993-07-01,U,T,Calle,441392.0,4477767.0,"['C-1', 'C-10', 'C-2', 'C-3', 'C-4', 'C-7', 'C-8', 'C-8a']","[{'linea': '6', 'orden': 12}, {'linea': '8', 'orden': 1}, {'linea': '10', 'orden': 18}]"
ESTRELLA,141,079-14-379,1993-07-01,U,N,Calle,443960.0,4473846.0,[],"[{'linea': '9', 'orden': 17}]"
LISTA,41,079-04-072,1993-07-01,U,N,Calle,442819.0,4475819.0,[],"[{'linea': '4', 'orden': 9}]"
LA POVEDA,-1,014-001,1999-04-07,U,T,Parcela,459545.0,4463483.0,[],"[{'linea': '9', 'orden': 27}]"
EMPALME,101,079-10-254,2002-09-01,U,T,Calle,435153.0,4471597.0,[],"[{'linea': '5', 'orden': 3}]"
MANOTERAS,165,079-16-442,2007-01-01,U,T,Calle,443920.0,4481106.0,[],"[{'linea': '4', 'orden': 22}]"
SAN FERMIN-ORCASUR,123,079-12-336,2007-01-01,U,T,Avda,441175.0,4469263.0,[],"[{'linea': '3', 'orden': 6}]"
CONGOSTO,181,079-18-502,1993-07-01,U,T,Calle,447573.0,4469481.0,[],"[{'linea': '1', 'orden': 29}]"
CIUDAD DE LOS ANGELES,175,079-17-467,2007-01-01,U,T,Avda,441213.0,4468107.0,[],"[{'linea': '3', 'orden': 5}]"
SAN CRISTOBAL,171,079-17-484,2007-01-01,U,T,Avda,441236.0,4466104.0,[],"[{'linea': '3', 'orden': 3}]"
PUERTA DEL SUR,-1,007-011,2003-01-01,U,T,Avda,431106.0,4466622.0,[],"[{'linea': '10', 'orden': 31}, {'linea': '12', 'orden': 1}]"
COSLADA CENTRAL,-1,049-005,2007-01-01,U,T,Calle,452504.0,4475148.0,"['C-2', 'C-7', 'C-8', 'C-8a']","[{'linea': '7', 'orden': 26}]"
GARCIA NOBLEJAS,152,079-15-423,1993-07-01,U,N,Calle,446390.0,4475710.0,[],"[{'linea': '7', 'orden': 20}]"
BARRIO DE LA CONCEPCION,155,079-15-408,1993-07-01,U,T,Calle,444813.0,4476906.0,[],"[{'linea': '7', 'orden': 17}]"
ANTON MARTIN,12,079-01-020,1993-07-01,U,N,Calle,440772.0,4473980.0,[],"[{'linea': '1', 'orden': 17}]"
GREGORIO MARAÑON,75,079-07-130,1993-07-01,U,T,Calle,441463.0,4476838.0,[],"[{'linea': '7', 'orden': 13}, {'linea': '10', 'orden': 19}]"
